Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,,lcnaf,,Denison family,,Denison,,(Family)
famname,TRUE,,lcnaf,,Douglass family.,,Douglass,,(Family)
famname,TRUE,,lcnaf,,Ferry family.,,Ferry,,(Family)
famname,TRUE,,lcnaf,,Field family.,,Field,,(Family)
famname,TRUE,,lcnaf,,Fletcher family.,,Fletcher,,(Family)
famname,TRUE,,lcnaf,,French family,,French,,(Family)
famname,TRUE,,lcnaf,,Fyfe family.,,Fyfe,,(Family)
famname,TRUE,,lcnaf,,Geddes family.,,Geddes,,(Family)
famname,TRUE,,lcnaf,,Gilchrist Family,,Gilchrist,,(Family)
famname,TRUE,,lcnaf,,Glynn family.,,Glynn,,(Family)
famname,TRUE,,lcnaf,,Gorman family.,,Gorman,,(Family)
famname,TRUE,,lcnaf,,Graves family.,,Graves,,(Family)
famname,TRUE,,lcnaf,,Green family.,,Green,,(Family)
famname,TRUE,,lcnaf,,Griswold family.,,Griswold,,(Family)
famname,TRUE,,lcnaf,,Hanna family.,,Hanna,,(Family)
famname,TRUE,,lcnaf,,Harlow family.,,Harlow,,(Family)
famname,TRUE,,lcnaf,,Haughey Family,,Haughey,,(Family)
famname,TRUE,,lcnaf,,Helmecke family.,,Helmecke,,(Family)
famname,TRUE,,lcnaf,,Hill family.,,Hill,,(Family)
famname,TRUE,,lcnaf,,Hinsdale family,,Hinsdale,,(Family)
famname,TRUE,,lcnaf,,Hoffius family.,,Hoffius,,(Family)
famname,TRUE,,lcnaf,,Holmes family.,,Holmes,,(Family)
famname,TRUE,,lcnaf,,Hubbell family.,,Hubbell,,(Family)
famname,TRUE,,lcnaf,,Huhn family.,,Huhn,,(Family)
famname,TRUE,,lcnaf,,Hull family.,,Hull,,(Family)
famname,TRUE,,lcnaf,,Hussey family.,,Hussey,,(Family)
famname,TRUE,,lcnaf,,Hutchins family.,,Hutchins,,(Family)
famname,TRUE,,lcnaf,,Irwin family.,,Irwin,,(Family)
famname,TRUE,,lcnaf,,Johnston family.,,Johnston,,(Family)
famname,TRUE,,lcnaf,,Kahn family.,,Kahn,,(Family)
famname,TRUE,,lcnaf,,Kennedy family.,,Kennedy,,(Family)
famname,TRUE,,lcnaf,,Kibler family.,,Kibler,,(Family)
famname,TRUE,,lcnaf,,Littlefield family.,,Littlefield,,(Family)
famname,TRUE,,lcnaf,,Ludwig family.,,Ludwig,,(Family)
famname,TRUE,,lcnaf,,McCreery family.,,McCreery,,(Family)
famname,TRUE,,lcnaf,,McDonald family.,,McDonald,,(Family)
famname,TRUE,,lcnaf,,McMahon family.,,McMahon,,(Family)
famname,TRUE,,lcnaf,,Merriam family.,,Merriam,,(Family)
famname,TRUE,,lcnaf,,Meyer family.,,Meyer,,(Family)
famname,TRUE,,lcnaf,,Mitchell-Strong family,,Mitchell-Strong,,(Family)
famname,TRUE,,lcnaf,,Morgan Family,,Morgan,,(Family)
famname,TRUE,,lcnaf,,Mullett family.,,Mullett,,(Family)
famname,TRUE,,lcnaf,,Munger family.,,Munger,,(Family)
famname,TRUE,,lcnaf,,Nisbett family.,,Nisbett,,(Family)
famname,TRUE,,lcnaf,,Norris family.,,Norris,,(Family)
famname,TRUE,,lcnaf,,Oâ€™Brien Family,,O'Brien,,(Family)
famname,TRUE,,lcnaf,,Palmer family.,,Palmer,,(Family)
famname,TRUE,,lcnaf,,Patterson family.,,Patterson,,(Family)
famname,TRUE,,lcnaf,,Pattengill family.,,Pattengill,,(Family)
famname,TRUE,,lcnaf,,Pierson family.,,Pierson,,(Family)
famname,TRUE,,lcnaf,,Pond Family,,Pond,,(Family)
famname,TRUE,,lcnaf,,Post family.,,Post,,(Family)
famname,TRUE,,lcnaf,,Powrie family.,,Powrie,,(Family)
famname,TRUE,,lcnaf,,Preston family.,,Preston,,(Family)
famname,TRUE,,lcnaf,,Raab family.,,Raab,,(Family)
famname,TRUE,,lcnaf,,Ransom family.,,Ransom,,(Family)
famname,TRUE,,lcnaf,,Richardson family.,,Richardson,,(Family)
famname,TRUE,,lcnaf,,Rinsey family.,,Rinsey,,(Family)
famname,TRUE,,lcnaf,,Rominger family.,,Rominger,,(Family)
famname,TRUE,,lcnaf,,Rowe family.,,Rowe,,(Family)
famname,TRUE,,lcnaf,,Ryder family.,,Ryder,,(Family)
famname,TRUE,,lcnaf,,Shaw family.,,Shaw,,(Family)
famname,TRUE,,lcnaf,,Shepard family.,,Shepard,,(Family)
famname,TRUE,,lcnaf,,Slayton family.,,Slayton,,(Family)
famname,TRUE,,lcnaf,,Sligh family.,,Sligh,,(Family)
famname,TRUE,,lcnaf,,Smyser family,,Smyser,,(Family)
famname,TRUE,,lcnaf,,Spalding family.,,Spalding,,(Family)
famname,TRUE,,lcnaf,,Squier family.,,Squier,,(Family)
famname,TRUE,,lcnaf,,Stewart family,,Stewart,,(Family)
famname,TRUE,,lcnaf,,Stone Family,,Stone,,(Family)
famname,TRUE,,lcnaf,,Safford family.,,Safford,,(Family)
famname,TRUE,,lcnaf,,Taylor family.,,Taylor,,(Family)
famname,TRUE,,lcnaf,,Tinkham family,,Tinkham,,(Family)
famname,TRUE,,lcnaf,,Todd family.,,Todd,,(Family)
famname,TRUE,,lcnaf,,Tower Family,,Tower,,(Family)
famname,TRUE,,lcnaf,,Tuomy family.,,Tuomy,,(Family)
famname,TRUE,,lcnaf,,Twichell family.,,Twichell,,(Family)
famname,TRUE,,lcnaf,,Upjohn family.,,Upjohn,,(Family)
famname,TRUE,,lcnaf,,Vandenberg family.,,Vandenberg,,(Family)
famname,TRUE,,lcnaf,,Ward family.,,Ward,,(Family)
famname,TRUE,,lcnaf,,Woodruff Family Papers,,Woodruff,,(Family)
famname,TRUE,,lcnaf,,Ferry Family (William Montague Ferry family),,Ferry,,"(Family: Ferry, William Montague, 1796-1867)"
famname,TRUE,,lcnaf,,Whitehead family,,Whitehead,,(Family)
famname,TRUE,,lcnaf,,"Whittemore Family (Tawas City, Mich.)",,Whittemore,,(Family)
famname,TRUE,,lcnaf,,Williams family.,,Williams,,(Family)
famname,TRUE,,lcnaf,,Winegar family.,,Winegar,,(Family)
famname,TRUE,,lcnaf,,Wright family.,,Wright,,(Family)
famname,TRUE,,lcnaf,,Adams family.,,Adams,,(Family)
famname,TRUE,,lcnaf,,Sparks family.,,Sparks,,(Family)
famname,TRUE,,lcnaf,,Angell family.,,Angell,,(Family)
famname,TRUE,,lcnaf,,Felland family.,,Felland,,(Family)
famname,TRUE,,lcnaf,,Albright family.,,Albright,,(Family)
famname,TRUE,,lcnaf,,Sunderland family.,,Sunderland,,(Family)
famname,TRUE,,lcnaf,,Botsford family.,,Botsford,,(Family)
famname,TRUE,,lcnaf,,Backus family.,,Backus,,(Family)
famname,TRUE,,lcnaf,,Standish family.,,Standish,,(Family)
famname,TRUE,,lcnaf,,Bagley family.,,Bagley,,(Family)
famname,TRUE,,lcnaf,,Baird family.,,Baird,,(Family)
famname,TRUE,,lcnaf,,BanÃ©r family.,,Banér,,(Family)
famname,TRUE,,lcnaf,,Beach family.,,Beach,,(Family)
famname,TRUE,,lcnaf,,Boekeloo family.,,Boekeloo,,(Family)
famname,TRUE,,lcnaf,,Warden family.,,Warden,,(Family)
famname,TRUE,,lcnaf,,Burney family.,,Burney,,(Family)
famname,TRUE,,lcnaf,,Hankerd family.,,Hankerd,,(Family)
famname,TRUE,,lcnaf,,McClear family.,,McClear,,(Family)
famname,TRUE,,lcnaf,,Hanks family.,,Hanks,,(Family)
famname,TRUE,,lcnaf,,North family.,,North,,(Family)
famname,TRUE,,lcnaf,,Bonisteel family.,,Bonisteel,,(Family)
famname,TRUE,,lcnaf,,Boyles family.,,Boyles,,(Family)
famname,TRUE,,lcnaf,,Breakey family.,,Breakey,,(Family)
famname,TRUE,,lcnaf,,Bentley family.,,Bentley,,(Family)
famname,TRUE,,lcnaf,,Briggs family.,,Briggs,,(Family)
famname,TRUE,,lcnaf,,Corliss family.,,Corliss,,(Family)
famname,TRUE,,lcnaf,,Broek family.,,Broek,,(Family)
famname,TRUE,,lcnaf,,Haller family.,,Haller,,(Family)
famname,TRUE,,lcnaf,,Brucker family.,,Brucker,,(Family)
famname,TRUE,,lcnaf,,Bugbee family.,,Bugbee,,(Family)
famname,TRUE,,lcnaf,,Avery family.,,Avery,,(Family)
famname,TRUE,,lcnaf,,Burt family.,,Burt,,(Family)
famname,TRUE,,lcnaf,,Cole family.,,Cole,,(Family)
famname,TRUE,,lcnaf,,Burton family.,,Burton,,(Family)
famname,TRUE,,lcnaf,,Cameron family.,,Cameron,,(Family)
famname,TRUE,,lcnaf,,Campbell family.,,Campbell,,(Family)
famname,TRUE,,lcnaf,,Cappaert family.,,Cappaert,,(Family)
famname,TRUE,,lcnaf,,Carman family.,,Carman,,(Family)
famname,TRUE,,lcnaf,,Stearns family.,,Stearns,,(Family)
famname,TRUE,,lcnaf,,Cavanaugh family.,,Cavanaugh,,(Family)
famname,TRUE,,lcnaf,,Chandler family.,,Chandler,,(Family)
famname,TRUE,,lcnaf,,Chopin family.,,Chopin,,(Family)
famname,TRUE,,lcnaf,,Bates family.,,Bates,,(Family)
famname,TRUE,,lcnaf,,Pearce family.,,Pearce,,(Family)
famname,TRUE,,lcnaf,,Tabor family.,,Tabor,,(Family)
famname,TRUE,,lcnaf,,Chase family.,,Chase,,(Family)
famname,TRUE,,lcnaf,,Christian family.,,Christian,,(Family)
famname,TRUE,,lcnaf,,Clark family.,,Clark,,(Family)
famname,TRUE,,lcnaf,,Cooley family.,,Cooley,,(Family)
famname,TRUE,,lcnaf,,Gibson family.,,Gibson,,(Family)
famname,TRUE,,lcnaf,,Jones family.,,Jones,,(Family)
famname,TRUE,,lcnaf,,Copeland family.,,Copeland,,(Family)
famname,TRUE,,lcnaf,,Crapo family.,,Crapo,,(Family)
famname,TRUE,,lcnaf,,Cross family.,,Cross,,(Family)
famname,TRUE,,lcnaf,,Dalgleish family.,,Dalgleish,,(Family)
famname,TRUE,,lcnaf,,Davis family.,,Davis,,(Family)
famname,TRUE,,lcnaf,,Demmon family.,,Demmon,,(Family)
famname,TRUE,,lcnaf,,Milliken family.,,Milliken,,(Family)
famname,TRUE,,lcnaf,,Douglas family.,,Douglas,,(Family)
famname,TRUE,,lcnaf,,Welles family.,,Welles,,(Family)
famname,TRUE,,lcnaf,,Anderson family.,,Anderson,,(Family)
famname,TRUE,,lcnaf,,Barton family.,,Barton,,(Family)
famname,TRUE,,lcnaf,,Buchanan family.,,Buchanan,,(Family)
famname,TRUE,,lcnaf,,Burshaw family.,,Burshaw,,(Family)
famname,TRUE,,lcnaf,,Hunter family.,,Hunter,,(Family)
famname,TRUE,,lcnaf,,Nellis family.,,Nellis,,(Family)
famname,TRUE,,lcnaf,,Drake family.,,Drake,,(Family)
famname,TRUE,,lcnaf,,Dunn family.,,Dunn,,(Family)
famname,TRUE,,lcnaf,,Early family.,,Early,,(Family)
famname,TRUE,,lcnaf,,Ellis family.,,Ellis,,(Family)
famname,TRUE,,lcnaf,,Emrich family.,,Emrich,,(Family)
famname,TRUE,,lcnaf,,Espy family.,,Espy,,(Family)
famname,TRUE,,lcnaf,,Fajans family.,,Fajans,,(Family)
famname,TRUE,,lcnaf,,Baily family.,,Baily,,(Family)
famname,TRUE,,lcnaf,,Evan family.,,Evan,,(Family)
famname,TRUE,,lcnaf,,Guest family.,,Guest,,(Family)
famname,TRUE,,lcnaf,,Hart family.,,Hart,,(Family)
famname,TRUE,,lcnaf,,Howland family.,,Howland,,(Family)
famname,TRUE,,lcnaf,,Meris family.,,Meris,,(Family)
famname,TRUE,,lcnaf,,Merritt family.,,Merritt,,(Family)
famname,TRUE,,lcnaf,,Wing family.,,Wing,,(Family)
famname,TRUE,,lcnaf,,Felch family.,,Felch,,(Family)
famname,TRUE,,lcnaf,,Lawrence family.,,Lawrence,,(Family)
famname,TRUE,,lcnaf,,Truesdale family.,,Truesdale,,(Family)
famname,TRUE,,lcnaf,,Fleming family.,,Fleming,,(Family)
famname,TRUE,,lcnaf,,Quixley family.,,Quixley,,(Family)
famname,TRUE,,lcnaf,,Schilling family.,,Schilling,,(Family)
famname,TRUE,,lcnaf,,Bahle family.,,Bahle,,(Family)
famname,TRUE,,lcnaf,,Garth family.,,Garth,,(Family)
famname,TRUE,,lcnaf,,Holden family.,,Holden,,(Family)
famname,TRUE,,lcnaf,,Arbogast family.,,Arbogast,,(Family)
famname,TRUE,,lcnaf,,Ballard family.,,Ballard,,(Family)
famname,TRUE,,lcnaf,,Fuller family.,,Fuller,,(Family)
famname,TRUE,,lcnaf,,Heath family.,,Heath,,(Family)
famname,TRUE,,lcnaf,,Hewens family.,,Hewens,,(Family)
famname,TRUE,,lcnaf,,Newton family.,,Newton,,(Family)
famname,TRUE,,lcnaf,,Gilbert family.,,Gilbert,,(Family)
famname,TRUE,,lcnaf,,Gray family.,,Gray,,(Family)
famname,TRUE,,lcnaf,,Miles family.,,Miles,,(Family)
famname,TRUE,,lcnaf,,Perry family.,,Perry,,(Family)
famname,TRUE,,lcnaf,,Prescott family.,,Prescott,,(Family)
famname,TRUE,,lcnaf,,Strong family.,,Strong,,(Family)
famname,TRUE,,lcnaf,,Randall family.,,Randall,,(Family)
famname,TRUE,,lcnaf,,Potter family.,,Potter,,(Family)
famname,TRUE,,lcnaf,,Gingrich family.,,Gingrich,,(Family)
famname,TRUE,,lcnaf,,Gjelsness family.,,Gjelsness,,(Family)
famname,TRUE,,lcnaf,,Goddard family.,,Goddard,,(Family)
famname,TRUE,,lcnaf,,Goodrich family.,,Goodrich,,(Family)
famname,TRUE,,lcnaf,,Hughes family.,,Hughes,,(Family)
famname,TRUE,,lcnaf,,Studley family.,,Studley,,(Family)
famname,TRUE,,lcnaf,,Haisley family.,,Haisley,,(Family)
famname,TRUE,,lcnaf,,Hankinson family.,,Hankinson,,(Family)
famname,TRUE,,lcnaf,,Hartwick family.,,Hartwick,,(Family)
famname,TRUE,,lcnaf,,Hatcher family.,,Hatcher,,(Family)
famname,TRUE,,lcnaf,,Hatfield family.,,Hatfield,,(Family)
famname,TRUE,,lcnaf,,Herbert family.,,Herbert,,(Family)
famname,TRUE,,lcnaf,,McLeod family.,,McLeod,,(Family)
famname,TRUE,,lcnaf,,Hildebrandt family.,,Hildebrandt,,(Family)
famname,TRUE,,lcnaf,,Ware family.,,Ware,,(Family)
famname,TRUE,,lcnaf,,Brewer family.,,Brewer,,(Family)
famname,TRUE,,lcnaf,,Stevens family.,,Stevens,,(Family)
famname,TRUE,,lcnaf,,Waters family.,,Waters,,(Family)
famname,TRUE,,lcnaf,,Huber family.,,Huber,,(Family)
famname,TRUE,,lcnaf,,Parker family.,,Parker,,(Family)
famname,TRUE,,lcnaf,,Hohn family.,,Hohn,,(Family)
famname,TRUE,,lcnaf,,Fountain family.,,Fountain,,(Family)
famname,TRUE,,lcnaf,,Robertson family.,,Robertson,,(Family)
famname,TRUE,,lcnaf,,Jacobs family.,,Jacobs,,(Family)
famname,TRUE,,lcnaf,,Jickling family.,,Jickling,,(Family)
famname,TRUE,,lcnaf,,Burch family.,,Burch,,(Family)
famname,TRUE,,lcnaf,,Judson family.,,Judson,,(Family)
famname,TRUE,,lcnaf,,Kellogg family.,,Kellogg,,(Family)
famname,TRUE,,lcnaf,,Kelly family.,,Kelly,,(Family)
famname,TRUE,,lcnaf,,Erhardt family.,,Erhardt,,(Family)
famname,TRUE,,lcnaf,,Beal family.,,Beal,,(Family)
famname,TRUE,,lcnaf,,Stockdale family.,,Stockdale,,(Family)
famname,TRUE,,lcnaf,,Houck family.,,Houck,,(Family)
famname,TRUE,,lcnaf,,Smith family.,,Smith,,(Family)
famname,TRUE,,lcnaf,,Crandall family.,,Crandall,,(Family)
famname,TRUE,,lcnaf,,Keal family.,,Keal,,(Family)
famname,TRUE,,lcnaf,,White family.,,White,,(Family)
famname,TRUE,,lcnaf,,Knowlton family.,,Knowlton,,(Family)
famname,TRUE,,lcnaf,,Kresge family.,,Kresge,,(Family)
famname,TRUE,,lcnaf,,Lacy family.,,Lacy,,(Family)
famname,TRUE,,lcnaf,,Novey family.,,Novey,,(Family)
famname,TRUE,,lcnaf,,Lawton family.,,Lawton,,(Family)
famname,TRUE,,lcnaf,,LeFavour family.,,LeFavour,,(Family)
famname,TRUE,,lcnaf,,McMillan family.,,McMillan,,(Family)
famname,TRUE,,lcnaf,,Shearer family.,,Shearer,,(Family)
famname,TRUE,,lcnaf,,Lemmer family.,,Lemmer,,(Family)
famname,TRUE,,lcnaf,,Leslie family.,,Leslie,,(Family)
famname,TRUE,,lcnaf,,Armstrong family.,,Armstrong,,(Family)
famname,TRUE,,lcnaf,,Leach family.,,Leach,,(Family)
famname,TRUE,,lcnaf,,Waterman family.,,Waterman,,(Family)
famname,TRUE,,lcnaf,,Sickels family.,,Sickels,,(Family)
famname,TRUE,,lcnaf,,Lincoln family.,,Lincoln,,(Family)
famname,TRUE,,lcnaf,,Hall family.,,Hall,,(Family)
famname,TRUE,,lcnaf,,Livingston family.,,Livingston,,(Family)
famname,TRUE,,lcnaf,,Losh family.,,Losh,,(Family)
famname,TRUE,,lcnaf,,Loughray family.,,Loughray,,(Family)
famname,TRUE,,lcnaf,,Newman family.,,Newman,,(Family)
famname,TRUE,,lcnaf,,Lunden family.,,Lunden,,(Family)
famname,TRUE,,lcnaf,,Ingram family.,,Ingram,,(Family)
famname,TRUE,,lcnaf,,Martindale family.,,Martindale,,(Family)
famname,TRUE,,lcnaf,,Martin family.,,Martin,,(Family)
famname,TRUE,,lcnaf,,Slatford family.,,Slatford,,(Family)
famname,TRUE,,lcnaf,,Fenton family.,,Fenton,,(Family)
famname,TRUE,,lcnaf,,Jewell family.,,Jewell,,(Family)
famname,TRUE,,lcnaf,,McKenzie family.,,McKenzie,,(Family)
famname,TRUE,,lcnaf,,Mershon family.,,Mershon,,(Family)
famname,TRUE,,lcnaf,,Myers family.,,Myers,,(Family)
famname,TRUE,,lcnaf,,McCorkell family.,,McCorkell,,(Family)
famname,TRUE,,lcnaf,,Millard family.,,Millard,,(Family)
famname,TRUE,,lcnaf,,Miller family.,,Miller,,(Family)
famname,TRUE,,lcnaf,,Wood family.,,Wood,,(Family)
famname,TRUE,,lcnaf,,Mitchell family.,,Mitchell,,(Family)
famname,TRUE,,lcnaf,,Monteith family.,,Monteith,,(Family)
famname,TRUE,,lcnaf,,Moody family.,,Moody,,(Family)
famname,TRUE,,lcnaf,,Muncy family.,,Muncy,,(Family)
famname,TRUE,,lcnaf,,Murphy family.,,Murphy,,(Family)
famname,TRUE,,lcnaf,,Newkirk family.,,Newkirk,,(Family)
famname,TRUE,,lcnaf,,Nesbitt family.,,Nesbitt,,(Family)
famname,TRUE,,lcnaf,,Whittelsey family.,,Whittelsey,,(Family)
famname,TRUE,,lcnaf,,Novy family.,,Novy,,(Family)
famname,TRUE,,lcnaf,,Hesselberg family.,,Hesselberg,,(Family)
famname,TRUE,,lcnaf,,Olson family.,,Olson,,(Family)
famname,TRUE,,lcnaf,,Osborn family.,,Osborn,,(Family)
famname,TRUE,,lcnaf,,Brunt family.,,Brunt,,(Family)
famname,TRUE,,lcnaf,,Lee family.,,Lee,,(Family)
famname,TRUE,,lcnaf,,Panchuk family.,,Panchuk,,(Family)
famname,TRUE,,lcnaf,,Foster family.,,Foster,,(Family)
famname,TRUE,,lcnaf,,Sharpsteen family.,,Sharpsteen,,(Family)
famname,TRUE,,lcnaf,,Woodward family.,,Woodward,,(Family)
famname,TRUE,,lcnaf,,Pearson family.,,Pearson,,(Family)
famname,TRUE,,lcnaf,,Plummer family.,,Plummer,,(Family)
famname,TRUE,,lcnaf,,Poole family.,,Poole,,(Family)
famname,TRUE,,lcnaf,,Boardman family.,,Boardman,,(Family)
famname,TRUE,,lcnaf,,Hamblen family.,,Hamblen,,(Family)
famname,TRUE,,lcnaf,,Pomeroy family.,,Pomeroy,,(Family)
famname,TRUE,,lcnaf,,Tomlinson family.,,Tomlinson,,(Family)
famname,TRUE,,lcnaf,,Zimmerman family.,,Zimmerman,,(Family)
famname,TRUE,,lcnaf,,Radulovich family.,,Radulovich,,(Family)
famname,TRUE,,lcnaf,,Bailey family.,,Bailey,,(Family)
famname,TRUE,,lcnaf,,Alexander family.,,Alexander,,(Family)
famname,TRUE,,lcnaf,,Egleston family.,,Egleston,,(Family)
famname,TRUE,,lcnaf,,Neuman family.,,Neuman,,(Family)
famname,TRUE,,lcnaf,,Roosevelt family.,,Roosevelt,,(Family)
famname,TRUE,,lcnaf,,Ruthven family.,,Ruthven,,(Family)
famname,TRUE,,lcnaf,,Toll family.,,Toll,,(Family)
famname,TRUE,,lcnaf,,Peters family.,,Peters,,(Family)
famname,TRUE,,lcnaf,,Schuler family.,,Schuler,,(Family)
famname,TRUE,,lcnaf,,Scripps family.,,Scripps,,(Family)
famname,TRUE,,lcnaf,,Shartel family.,,Shartel,,(Family)
famname,TRUE,,lcnaf,,Shelley family.,,Shelley,,(Family)
famname,TRUE,,lcnaf,,Minges family.,,Minges,,(Family)
famname,TRUE,,lcnaf,,Van Valin family.,,Van Valin,,(Family)
famname,TRUE,,lcnaf,,Showers family.,,Showers,,(Family)
famname,TRUE,,lcnaf,,Gordon family.,,Gordon,,(Family)
famname,TRUE,,lcnaf,,Sink family.,,Sink,,(Family)
famname,TRUE,,lcnaf,,Bedell family.,,Bedell,,(Family)
famname,TRUE,,lcnaf,,Graveraet family.,,Graveraet,,(Family)
famname,TRUE,,lcnaf,,Holland family.,,Holland,,(Family)
famname,TRUE,,lcnaf,,Kingsbury family.,,Kingsbury,,(Family)
famname,TRUE,,lcnaf,,Sexton family.,,Sexton,,(Family)
famname,TRUE,,lcnaf,,Sparrow family.,,Sparrow,,(Family)
famname,TRUE,,lcnaf,,Swegles family.,,Swegles,,(Family)
famname,TRUE,,lcnaf,,Spencer family.,,Spencer,,(Family)
famname,TRUE,,lcnaf,,Squire family.,,Squire,,(Family)
famname,TRUE,,lcnaf,,Staebler family.,,Staebler,,(Family)
famname,TRUE,,lcnaf,,Stanley family.,,Stanley,,(Family)
famname,TRUE,,lcnaf,,Starr family.,,Starr,,(Family)
famname,TRUE,,lcnaf,,Buzzard family.,,Buzzard,,(Family)
famname,TRUE,,lcnaf,,Seymour family.,,Seymour,,(Family)
famname,TRUE,,lcnaf,,Stuart family.,,Stuart,,(Family)
famname,TRUE,,lcnaf,,Van Aken family.,,Van Aken,,(Family)
famname,TRUE,,lcnaf,,Keeler family.,,Keeler,,(Family)
famname,TRUE,,lcnaf,,McCalmont family.,,McCalmont,,(Family)
famname,TRUE,,lcnaf,,Sundwall family.,,Sundwall,,(Family)
famname,TRUE,,lcnaf,,Swain family.,,Swain,,(Family)
famname,TRUE,,lcnaf,,Swainson family.,,Swainson,,(Family)
famname,TRUE,,lcnaf,,Tanner family.,,Tanner,,(Family)
famname,TRUE,,lcnaf,,Benedict family.,,Benedict,,(Family)
famname,TRUE,,lcnaf,,Church family.,,Church,,(Family)
famname,TRUE,,lcnaf,,Mahan family.,,Mahan,,(Family)
famname,TRUE,,lcnaf,,Schleicher family.,,Schleicher,,(Family)
famname,TRUE,,lcnaf,,Teed family.,,Teed,,(Family)
famname,TRUE,,lcnaf,,Thomas family.,,Thomas,,(Family)
famname,TRUE,,lcnaf,,Huxtable family.,,Huxtable,,(Family)
famname,TRUE,,lcnaf,,Towsley family.,,Towsley,,(Family)
famname,TRUE,,lcnaf,,Travis family.,,Travis,,(Family)
famname,TRUE,,lcnaf,,Tuttle family.,,Tuttle,,(Family)
famname,TRUE,,lcnaf,,Depew family.,,Depew,,(Family)
famname,TRUE,,lcnaf,,Hollister family.,,Hollister,,(Family)
famname,TRUE,,lcnaf,,Lohmiller family.,,Lohmiller,,(Family)
famname,TRUE,,lcnaf,,Butler family.,,Butler,,(Family)
famname,TRUE,,lcnaf,,Hayes family.,,Hayes,,(Family)
famname,TRUE,,lcnaf,,Rorabacher family.,,Rorabacher,,(Family)
famname,TRUE,,lcnaf,,Schlede family.,,Schlede,,(Family)
famname,TRUE,,lcnaf,,Scott family.,,Scott,,(Family)
famname,TRUE,,lcnaf,,Inglis family.,,Inglis,,(Family)
famname,TRUE,,lcnaf,,Clough family.,,Clough,,(Family)
famname,TRUE,,lcnaf,,Kirby family.,,Kirby,,(Family)
famname,TRUE,,lcnaf,,Mills family.,,Mills,,(Family)
famname,TRUE,,lcnaf,,Belfield family.,,Belfield,,(Family)
famname,TRUE,,lcnaf,,DeKorne family.,,DeKorne,,(Family)
famname,TRUE,,lcnaf,,Doan family.,,Doan,,(Family)
famname,TRUE,,lcnaf,,Lanham family.,,Lanham,,(Family)
famname,TRUE,,lcnaf,,Thoresen family.,,Thoresen,,(Family)
famname,TRUE,,lcnaf,,Van Zoeren family.,,Van Zoeren,,(Family)
famname,TRUE,,lcnaf,,Vivian family.,,Vivian,,(Family)
famname,TRUE,,lcnaf,,Woodruff family.,,Woodruff,,(Family)
famname,TRUE,,lcnaf,,Marin family.,,Marin,,(Family)
famname,TRUE,,lcnaf,,Behr family.,,Behr,,(Family)
famname,TRUE,,lcnaf,,Weber family.,,Weber,,(Family)
famname,TRUE,,lcnaf,,Weil family.,,Weil,,(Family)
famname,TRUE,,lcnaf,,Bailly family.,,Bailly,,(Family)
famname,TRUE,,lcnaf,,Campau family.,,Campau,,(Family)
famname,TRUE,,lcnaf,,Welch family.,,Welch,,(Family)
famname,TRUE,,lcnaf,,Wells family.,,Wells,,(Family)
famname,TRUE,,lcnaf,,Wenley family.,,Wenley,,(Family)
famname,TRUE,,lcnaf,,Whitmore family.,,Whitmore,,(Family)
famname,TRUE,,lcnaf,,Dewey family.,,Dewey,,(Family)
famname,TRUE,,lcnaf,,Winchell family.,,Winchell,,(Family)
