ORIGINAL,uri
"Bannon, Kenneth F.",/agents/people/206
"Banér, Skulda V. (Skulda Vanadis)",/agents/people/207
"Barbeau, Peter.",/agents/people/208
"Barbour, Edwin Scott.",/agents/people/209
"Bardwell, Jex.",/agents/people/210
"Bareng, T.",/agents/people/211
"Barnard, Ruth M.",/agents/people/212
"Barnes, Douglas.",/agents/people/213
"Barnes, Joseph.",/agents/people/214
"Barnes, M. H.",/agents/people/215
"Barnes, Russell.",/agents/people/216
"Barnet, Richard J.",/agents/people/217
"Barnett, Douglas.",/agents/people/218
"Barney, Jane Lockwood.",/agents/people/219
"Barney, Roger Warren.",/agents/people/220
"Barney, Roger.",/agents/people/221
"Barnhizer, Daniel D.",/agents/people/222
"Barr, Merle.",/agents/people/223
"Barrabee, Peter",/agents/people/224
"Barrett, Nell.",/agents/people/225
"Barritt, Loren S. and Marjorie Rabe Barritt.",/agents/people/226
"Barritt, Loren.",/agents/people/227
"Barron, Sarah.",/agents/people/228
"Barrows, Alice P.",/agents/people/229
"Bartels, Levi.",/agents/people/230
"Bartels, R. C. F. (Robert Christian Frank)",/agents/people/231
"Bartlett, Hamilton H.",/agents/people/232
"Bartlett, Ilo H.",/agents/people/233
"Bartlett, Josephine K.",/agents/people/234
"Bartlett, Robert H.",/agents/people/235
"Barton, Charles Morris.",/agents/people/236
"Barwin, Thomas W.",/agents/people/237
"Bashert, Beth.",/agents/people/238
"Bashert, Lisa Marshall.",/agents/people/239
"Bass, Louis.",/agents/people/240
"Bassett, Anita Denniston.",/agents/people/241
"Bates, Harriet.",/agents/people/242
"Bauer, Elizabeth W.",/agents/people/243
"Baur, George.",/agents/people/244
"Bazmore, Grace.",/agents/people/245
"Bazmore, Ray.",/agents/people/246
"Beach, William Edward",/agents/people/247
"Beall, Hayes.",/agents/people/248
"Bear, Fred.",/agents/people/249
"Beardsley, Richard K.",/agents/people/250
"Beasly, William Arthur.",/agents/people/251
"Beauvais, Francis N.",/agents/people/252
"Becker, Herman.",/agents/people/253
"Beckley, Robert M.",/agents/people/254
"Beckman, Charles K.",/agents/people/255
"Beebe, Lorraine B. (Lorraine Boekeloo)",/agents/people/256
"Beekman, Lynwood.",/agents/people/257
"Beekman, Marvin E.",/agents/people/258
"Beeson, Lewis.",/agents/people/259
"Begg, Victor.",/agents/people/260
"Behee, John Richard.",/agents/people/261
