1933-1945,"['temporal', 'topical']",temporal
Exhibitions,"['topical', 'genre_form']",topical
Business enterprises,"['topical', 'geographic']",topical
Attitudes,"['geographic', 'topical']",topical
India,"['geographic', 'topical']",geographic
Chippewa Tribe,"['topical', 'geographic']",topical
Genealogy,"['topical', 'genre_form']",topical
Soviet Union,"['geographic', 'topical']",geographic
Art,"['topical', 'genre_form']",genre_form
Detroit (Mich.),"['geographic', 'topical']",geographic
Design and construction,"['topical', 'geographic']",topical
Admission,"['topical', 'geographic']",topical
Religious life,"['topical', 'geographic']",topical
Organizations,"['topical', 'geographic']",topical
Education,"['topical', 'geographic']",topical
Periodicals,"['topical', 'genre_form']",genre_form
Oral history,"['topical', 'genre_form']",genre_form
Church history,"['topical', 'geographic']",topical
Temperance,"['topical', 'geographic']",topical
American,"['topical', 'geographic']",geographic
Catalogs,"['genre_form', 'topical']",genre_form
"Civil War, 1861-1865","['temporal', 'topical']",temporal
Folklore,"['topical', 'genre_form']",topical
Guidebooks,"['genre_form', 'topical']",genre_form
Saugatuck (Mich.),"['geographic', 'topical']",geographic
Conway (Mich.),"['geographic', 'topical']",geographic
Streets,"['topical', 'geographic']",topical
Bibliography,"['topical', 'geographic']",topical
Norway,"['geographic', 'topical']",geographic
Postcards,"['genre_form', 'topical']",genre_form
"Societies, etc.","['topical', 'geographic']",topical
China,"['geographic', 'topical']",geographic
Student unions,"['geographic', 'topical']",topical
Business records,"['topical', 'genre_form']",genre_form
Offices,"['topical', 'geographic']",topical
Japan,"['geographic', 'topical']",geographic
Psychology,"['topical', 'geographic']",topical
Willow Run (Mich.),"['geographic', 'topical']",geographic
Politics and government,"['topical', 'geographic']",topical
Plants,"['topical', 'geographic']",topical
Soldiers,"['topical', 'geographic', 'genre_form']",topical
Publicity,"['topical', 'genre_form']",topical
Churches,"['topical', 'geographic']",topical
Brighton (Mich.),"['geographic', 'topical']",geographic
"Personal narratives, American","['topical', 'genre_form']",topical
Dwellings,"['topical', 'geographic']",topical
Cross Village,"['geographic', 'topical']",geographic
Opera,"['topical', 'genre_form']",genre_form
East Asia,"['geographic', 'topical']",geographic
Marshall (Mich.),"['geographic', 'topical']",geographic
Research,"['topical', 'genre_form']",topical
Surgery,"['topical', 'geographic']",topical
Travel,"['topical', 'genre_form']",topical
Banks,"['topical', 'genre_form']",topical
Congresses,"['topical', 'genre_form']",topical
Holography,"['topical', 'genre_form']",topical
Sermons,"['genre_form', 'topical', 'geographic']",genre_form
United States,"['geographic', 'topical']",geographic
Newspapers,"['topical', 'genre_form']",genre_form
Bavaria (Germany),"['topical', 'geographic']",geographic
1945-1953,"['temporal', 'topical']",temporal
Ypsilanti (Mich.),"['geographic', 'topical']",geographic
Germany,"['geographic', 'topical']",geographic
Political activity,"['topical', 'geographic']",topical
Ann Arbor,"['geographic', 'temporal', 'topical']",geographic
Ferndale (Mich.),"['geographic', 'topical']",geographic
Public schools,"['topical', 'geographic']",topical
Battle Creek (Mich.),"['geographic', 'topical']",geographic
Latin America,"['topical', 'geographic']",geographic
Interviews,"['genre_form', 'topical']",genre_form
Governors,"['topical', 'geographic']",topical
Arts and crafts,"['topical', 'geographic']",topical
Port Huron (Mich.),"['geographic', 'topical']",geographic
Petersburg (Va.),"['topical', 'geographic']",geographic
Finance,"['geographic', 'topical']",topical
Students,"['topical', 'geographic']",topical
