Name,LCNAF Heading,LC Record Link
Alumni Memorial Hall (University of Michigan),,
"Amaranth Club (Jackson, Mich.)",,
Amateur Athletic Union of the United States.,Amateur Athletic Union of the United States,http://id.loc.gov/authorities/names/n80057268
Amateur Fencers League of America.,Amateur Fencers League of America,http://id.loc.gov/authorities/names/n82028910
Amateur Radio Club (University of Michigan),,
Amazon (Ship),Amazon (Ship : active 1811-1812),http://id.loc.gov/authorities/names/no2010206618
"Ambassador Hotel (Detroit, Mich.)",,
"Amboy, Lansing and Traverse Bay Railroad Company.",,
Amboy Dukes (Musical group),Amboy Dukes (Musical group),http://id.loc.gov/authorities/names/n93078812
Ameinu Detroit.,,
America Asia Association.,,
America First Committee.,America First Committee,http://id.loc.gov/authorities/names/n88116780
America First Party.,Communist Party of the United States of America (Calif.). First C.D.,http://id.loc.gov/authorities/names/no2011101943
American Academy in Rome.,American Academy in Rome,http://id.loc.gov/authorities/names/n79032986
American Academy of Occupational Medicine.,American Academy of Occupational Medicine,http://id.loc.gov/authorities/names/n83054837
American Academy of Ophthalmology and Otolaryngology.,American Academy of Ophthalmology,http://id.loc.gov/authorities/names/n78052234
American Agri-Women.,,
American Alumni Council.,American Alumni Council,http://id.loc.gov/authorities/names/n50063101
American Anthropological Association.,American Anthropological Association,http://id.loc.gov/authorities/names/n79061234
American Anti-Boycott Association.,"League for Industrial Rights (New York, N.Y.)",http://id.loc.gov/authorities/names/no91010893
American Anti-Imperialist League.,American Anti-Imperialist League,http://id.loc.gov/authorities/names/no95055308
"American-Arab Anti-Discrimination Committee, Michigan.",,
American-Arab Anti-Discrimination Committee.,American-Arab Anti-Discrimination Committee,http://id.loc.gov/authorities/names/n83154850
American Arab Chamber of Commerce.,American Arab Chamber of Commerce,http://id.loc.gov/authorities/names/no2002021938
American Association Favoring Reconsideration of the War Debts.,,
American Association for a Democratic Germany.,American Friends of German Freedom,http://id.loc.gov/authorities/names/n84209382
American Association for Adult Education.,American Association for Adult and Continuing Education,http://id.loc.gov/authorities/names/n83029447
American Association for International Cooperation.,,
American Association for Old Age Security.,,
American Association for Social Security.,American Association for Social Security,http://id.loc.gov/authorities/names/n85311988
American Association for the Advancement of Science.,American Association for the Advancement of Science,http://id.loc.gov/authorities/names/n79053772
American Association of Collegiate Schools of Business.,American Assembly of Collegiate Schools of Business,http://id.loc.gov/authorities/names/n50064242
American Association of Critical-Care Nurses. Washtenaw County Chapter.,,
American Association of Occupational Health Nurses.,American Association of Occupational Health Nurses,http://id.loc.gov/authorities/names/n84133134
American Association of Orthodontists.,American Association of Orthodontists,http://id.loc.gov/authorities/names/n82020740
American Association of State Highway Officials.,American Association of State Highway and Transportation Officials,http://id.loc.gov/authorities/names/n79007717
American Association of University Professors.,American Association of University Professors,http://id.loc.gov/authorities/names/n79076108
American Association of University Professors. University of Michigan Chapter.,,
American Association of University Women.,American Association of University Women,http://id.loc.gov/authorities/names/n79100563
American Association of Women Ministers.,International Association of Women Ministers,http://id.loc.gov/authorities/names/no97014054
American Automobile Association.,American Automobile Association,http://id.loc.gov/authorities/names/n78088938
American Bankers Association.,American Bankers Association,http://id.loc.gov/authorities/names/n79116227
American Bar Association.,American Bar Association,http://id.loc.gov/authorities/names/n78083441
American Bar Foundation.,American Bar Foundation,http://id.loc.gov/authorities/names/n80126283
American Bible Society.,American Bible Society,http://id.loc.gov/authorities/names/n80057270
American Birth Control League.,Planned Parenthood Federation of America,http://id.loc.gov/authorities/names/n50075375
American Businessmen's Prohibition Foundation.,,
American Businessmen's Research Foundation.,,
American Camping Association.,American Camping Association,http://id.loc.gov/authorities/names/n79053025
American Chemical Society. University of Michigan Section.,,
American Christian Fund for Jewish Relief.,,
American Citizens for Justice.,,
